experiment_id,model,method,policy,round,labeled_count,unlabeled_count,train_seconds,query_seconds,test_eval_seconds,modelled_total_seconds,logged_round_seconds,train_share,query_share,eval_share
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,4,2758,5352,16115.86603076016,616.1784277320436,219.320503898453,16951.364962390657,580.440349817276,0.9507119967339394,0.03634978239800364,0.012938220868056998
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,5,2918,5192,17050.796619926812,597.7578079820423,219.320503898453,17867.874931807306,605.0490787029266,0.9542710974305075,0.03345433132162517,0.01227457124786742
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,6,3080,5030,17997.413841458045,579.106930485166,219.320503898453,18795.841275841663,633.6000106334686,0.9575210589052037,0.03081037565631571,0.011668565438480593
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,7,3240,4870,18932.344430624697,560.6863107351647,219.320503898453,19712.351245258313,657.6882035732269,0.9604305541774859,0.028443400980389614,0.011126044842124516
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,8,3397,4713,19849.745071244477,542.6110776054759,219.320503898453,20611.676652748407,684.4280226230621,0.9630339833900736,0.02632542159218876,0.010640595017737595
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,9,3551,4559,20749.61576331738,524.8812310960997,219.320503898453,21493.81749831193,713.0199615955353,0.9653760094011685,0.02442010271731964,0.010203887881511876
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,10,3705,4405,21649.48645539028,507.1513845867234,219.320503898453,22375.958343875456,744.8344264030457,0.9675333732159893,0.022665012903259014,0.009801613880751767
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,11,3860,4250,22555.200463645473,489.30640920390965,219.320503898453,23263.827376747835,766.5721161365509,0.9695395387170628,0.02103292812828257,0.009427533154654662
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,12,4010,4100,23431.69789098921,472.03707818828343,219.320503898453,24123.055473075947,797.4403827190399,0.9713403808709734,0.01956788097242201,0.009091738156604558
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,13,4161,3949,24314.038634515236,454.6526182992197,219.320503898453,24988.01175671291,827.756379365921,0.973028141303935,0.01819482969376623,0.008777029002298816
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,14,4315,3795,25213.90932658814,436.9227717898434,219.320503898453,25870.152602276434,844.3553512096405,0.9746331888420886,0.016889068205627692,0.008477742952283707
efficientnet_b4_entropy_dual_metric,efficientnet_b4,entropy,dual_metric,15,4466,3644,26096.25007011417,419.5383119007797,219.320503898453,26735.1088859134,870.6507303714752,0.9761041251589649,0.015692410817965,0.008203464023070126
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,1,1558,6552,9103.886612010272,754.3292206640533,219.320503898453,10077.536336572777,206.7846887111664,0.9033841514389787,0.07485254287067047,0.02176330569035097
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,2,1896,6214,11078.927481624823,715.4156614421756,219.320503898453,12013.663646965451,385.7542908191681,0.9221939124642686,0.05955016575005273,0.018255921785678718
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,3,2046,6064,11955.42490896856,698.1463304265494,219.320503898453,12872.891743293561,447.2852599620819,0.9287287695243007,0.054233838390683686,0.01703739208501565
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,4,2196,5914,12831.922336312295,680.8769994109232,219.320503898453,13732.11983962167,472.0078539848328,0.934445845665284,0.049582803482851184,0.015971350851864942
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,5,2346,5764,13708.419763656031,663.607668395297,219.320503898453,14591.34793594978,503.2620611190796,0.9394896087620245,0.045479531521575044,0.015030859716400629
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,6,2496,5614,14584.917190999768,646.3383373796707,219.320503898453,15450.576032277891,520.9575598239899,0.9439723904487658,0.04183263692107022,0.014194972630164029
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,7,2646,5464,15461.414618343504,629.0690063640445,219.320503898453,16309.804128606002,556.9644842147827,0.9479828510770099,0.038569991485103816,0.013447157437886308
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,8,2796,5314,16337.91204568724,611.7996753484183,219.320503898453,17169.03222493411,577.1183319091797,0.9515919028889783,0.03563390570494233,0.012774191406079365
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,9,2946,5164,17214.409473030977,594.5303443327921,219.320503898453,18028.26032126222,598.3348948955536,0.9548569393980072,0.032977688015277506,0.012165372586715436
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,10,3096,5014,18090.906900374714,577.2610133171659,219.320503898453,18887.48841759033,631.0621085166931,0.9578249103531551,0.030563143206459892,0.011611946440385108
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,11,3246,4864,18967.404327718446,559.9916823015396,219.320503898453,19746.71651391844,664.0671124458313,0.9605345939082734,0.02835872393806993,0.011106682153656549
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,12,3396,4714,19843.901755062183,542.7223512859134,219.320503898453,20605.944610246548,686.3906054496765,0.963018300320703,0.02633814472237484,0.010643554956922156
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,13,3546,4564,20720.39918240592,525.4530202702872,219.320503898453,21465.17270657466,712.4547665119171,0.9653031664664584,0.024479328792418424,0.010217504741123111
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,14,3696,4414,21596.896609749656,508.183689254661,219.320503898453,22324.40080290277,760.5213141441345,0.9674121514133308,0.022763598169612844,0.009824250417056457
efficientnet_b4_entropy_uncertainty_only,efficientnet_b4,entropy,uncertainty_only,15,3846,4264,22473.394037093392,490.91435823903475,219.320503898453,23183.62889923088,814.6333949565887,0.9693648106073226,0.021175043836874085,0.009460145555803346
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,1,1762,6348,10295.923113197752,730.8467856758017,219.320503898453,11246.090402772006,233.16984605789185,0.9155113238872727,0.06498674290361903,0.019501933209108254
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,2,2240,5870,13089.028248333125,675.8151841726728,219.320503898453,13984.16393640425,481.6538712978363,0.9359893310646291,0.048327178317279174,0.01568349061809175
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,3,2457,5653,14357.027859890397,650.8322186367336,219.320503898453,15227.180582425583,569.2621221542358,0.9428552963022274,0.042741478970039284,0.014403224727733333
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,4,2614,5496,15274.428500510174,632.7569855070448,219.320503898453,16126.505989915671,608.412538766861,0.9471629198576353,0.03923707875113954,0.013600001391225098
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,5,2777,5333,16226.8890382237,613.990979136731,219.320503898453,17060.200521258885,636.6284184455872,0.9511546489739797,0.03598966954530404,0.012855681480716218
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,6,2937,5173,17161.819627390352,595.5703593867297,219.320503898453,17976.710490675534,682.8979649543762,0.9546696341520401,0.03313010796361494,0.012200257884345075
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,7,3124,4986,18254.519753478875,574.0412600539156,219.320503898453,19047.881517431244,720.7734417915344,0.9583490813282127,0.030136750878495048,0.011514167793292222
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,8,3282,4828,19177.763710280946,555.8508980507894,219.320503898453,19952.93511223019,754.809407711029,0.9611500063730424,0.02785810182433158,0.010991891802626075
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,9,3434,4676,20065.947769989263,538.3513092882881,219.320503898453,20823.619583176005,781.8577661514282,0.9636147879978135,0.025852917027126134,0.010532294975060353
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,10,3590,4520,20977.50509442675,520.3912050320369,219.320503898453,21717.216803357238,807.9368126392365,0.9659389269063181,0.023962149926669712,0.01009892316701229
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,11,3745,4365,21883.219102681942,502.54622964922305,219.320503898453,22605.085836229617,872.0181214809418,0.9680661803818181,0.022231555911359658,0.009702263706822282
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,12,3903,4207,22806.463059484013,484.3558676460968,219.320503898453,23510.13943102856,898.9678399562836,0.970069238695546,0.02060199894037406,0.009328762364080026
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,13,4056,4054,23700.490435374624,466.74115001015804,219.320503898453,24386.552089283236,949.5216014385225,0.9718672138891622,0.019139284155519028,0.00899350195531882
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,14,4220,3890,24658.79428927044,447.8600147664067,219.320503898453,25325.9748079353,997.516773223877,0.9736562748828205,0.017683821379545883,0.008659903737633588
efficientnet_b4_least_confidence_dual_metric,efficientnet_b4,least_confidence,dual_metric,15,4373,3737,25552.821665161053,430.245297130468,219.320503898453,26202.38746618997,1001.2603676319122,0.975209671184846,0.016420079952089533,0.008370248863064535
