experiment_id,model,method,policy,target,target_name,kind,n_positive,prevalence,auc,auc_ci_low,auc_ci_high,pr_auc
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,mel,Melanoma,class_probability,209,0.10971128608923884,0.9373786900785411,0.9194937638017192,0.9535043737216492,0.7601866878343492
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9655035293074631,0.9572515792366704,0.9730977836704408,0.9833594364216489
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9995089521794969,0.9983175034108202,1.0,0.9590476190476189
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,malignant,Malignant (risk head),risk_head,349,0.18320209973753282,0.9459684666435869,0.9316226102944436,0.957949792348491,0.8499935938446781
efficientnet_b4_margin_uncertainty_only,efficientnet_b4,margin,uncertainty_only,malignant,Malignant (summed class probs),summed_class_probs,349,0.18320209973753282,0.9465604997016817,0.9322710356277905,0.9588379601945977,0.8565252521114891
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,akiec,Actinic Keratoses,class_probability,51,0.026771653543307086,0.9581508978996129,0.9277641447036284,0.980933586830622,0.6629214128728814
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,bcc,Basal Cell Carcinoma,class_probability,89,0.046719160104986876,0.9948831856654953,0.9883914367834709,0.9987111230368209,0.9484596727633495
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,bkl,Benign Keratosis,class_probability,206,0.10813648293963254,0.9642851020303205,0.9523088518303046,0.9747786764114924,0.8118875702109547
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,df,Dermatofibroma,class_probability,9,0.004724409448818898,0.9995311767463666,0.9985935302390999,1.0,0.9051066217732884
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,mel,Melanoma,class_probability,209,0.10971128608923884,0.9511657037103909,0.9375902854806186,0.9635932957524574,0.7934882471770287
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,nv,Melanocytic Nevi,class_probability,1327,0.6965879265091863,0.9716964404450552,0.9645017551926293,0.9780593099960678,0.9872196199255233
efficientnet_b4_mc_dropout_dual_metric,efficientnet_b4,mc_dropout,dual_metric,vasc,Vascular Lesions,class_probability,14,0.007349081364829396,0.9998866812721916,0.9995366884556759,1.0,0.9859693877551021
