model,method,method_key,round,total_labels,labeled_count,accuracy,f1_macro,fn_rate_malignant,unsafe_auto_accepts
efficientnet_b4,BADGE,baseline_badge,7,2750,3240,0.8377952755905512,0.717192553180405,0.2722063037249284,759
efficientnet_b4,BADGE,baseline_badge,8,2907,3397,0.8246719160104987,0.7084298280142836,0.2893982808022922,718
efficientnet_b4,BADGE,baseline_badge,9,3061,3551,0.8461942257217848,0.7428507455700124,0.3065902578796561,672
efficientnet_b4,BADGE,baseline_badge,10,3215,3705,0.8498687664041995,0.7337716120182503,0.2779369627507163,633
efficientnet_b4,BADGE,baseline_badge,11,3370,3860,0.8593175853018372,0.7700632622467525,0.2722063037249284,588
efficientnet_b4,BADGE,baseline_badge,12,3520,4010,0.8598425196850393,0.7753513149694398,0.2722063037249284,537
efficientnet_b4,BADGE,baseline_badge,13,3671,4161,0.8619422572178478,0.7665846361050159,0.2922636103151863,497
efficientnet_b4,BADGE,baseline_badge,14,3825,4315,0.8572178477690289,0.766139114952348,0.2893982808022922,451
efficientnet_b4,BADGE,baseline_badge,15,3976,4466,0.8603674540682414,0.756880058255695,0.2722063037249284,419
efficientnet_b4,CLUE,baseline_clue,1,1414,1904,0.1742782152230971,0.1346969259366327,0.2750716332378223,1154
efficientnet_b4,CLUE,baseline_clue,2,1915,2405,0.6451443569553805,0.4453023333354274,0.2148997134670487,1046
efficientnet_b4,CLUE,baseline_clue,3,2095,2585,0.726509186351706,0.5303044659345254,0.2808022922636103,1001
efficientnet_b4,CLUE,baseline_clue,4,2268,2758,0.731758530183727,0.6166354332348043,0.2063037249283667,946
efficientnet_b4,CLUE,baseline_clue,5,2428,2918,0.7564304461942257,0.6348707802577913,0.2292263610315186,907
efficientnet_b4,CLUE,baseline_clue,6,2590,3080,0.794750656167979,0.6718078653867963,0.2636103151862464,872
efficientnet_b4,CLUE,baseline_clue,7,2750,3240,0.8204724409448819,0.6983351765891105,0.2521489971346705,828
efficientnet_b4,CLUE,baseline_clue,8,2907,3397,0.8204724409448819,0.7186742635066954,0.2320916905444126,791
efficientnet_b4,CLUE,baseline_clue,9,3061,3551,0.836745406824147,0.7399382998137147,0.2836676217765043,751
efficientnet_b4,CLUE,baseline_clue,10,3215,3705,0.8388451443569553,0.7388120691627472,0.2292263610315186,711
efficientnet_b4,CLUE,baseline_clue,11,3370,3860,0.847769028871391,0.768295440183265,0.2349570200573066,662
efficientnet_b4,CLUE,baseline_clue,12,3520,4010,0.8461942257217848,0.7453406235763635,0.2607449856733524,617
efficientnet_b4,CLUE,baseline_clue,13,3671,4161,0.8561679790026246,0.7746681784723014,0.2263610315186246,581
efficientnet_b4,CLUE,baseline_clue,14,3825,4315,0.8582677165354331,0.758190529095188,0.3409742120343839,517
efficientnet_b4,CLUE,baseline_clue,15,3976,4466,0.8619422572178478,0.769999485456953,0.2005730659025787,489
efficientnet_b4,CoreSet,baseline_coreset,1,1414,1904,0.1742782152230971,0.1346969259366327,0.2750716332378223,1132
efficientnet_b4,CoreSet,baseline_coreset,2,1915,2405,0.6351706036745407,0.4045174633593809,0.2636103151862464,1024
efficientnet_b4,CoreSet,baseline_coreset,3,2095,2585,0.731758530183727,0.5162064557530642,0.3209169054441261,955
efficientnet_b4,CoreSet,baseline_coreset,4,2268,2758,0.7627296587926509,0.6044706377260443,0.2206303724928366,905
efficientnet_b4,CoreSet,baseline_coreset,5,2428,2918,0.800524934383202,0.6371577849108446,0.2550143266475644,835
